userName,content,score,thumbsUpCount,appVersion
A Google user,"It's easy to play. I wish you could adjust times bar, restaurant, etc are open. Anyway, you gotta watch ads to make extra money. Or pay 11$ to hire someone to watch ads for you. If you're not playing your hotels close because you're not collecting profit. Or pay 5$ for someone to collect it for you.",2,0,1.2.1
Faiz Maulana Arsadani,"The game is buggy. Cant even start the game with wifi connection, always said error code: 4. And when it does open, it always took me more than a minute. Sometimes, the ads just doesnt show up or the ads shows up but we dont get the said gifts and prize afterwards.",2,0,
A Google user,"Perfectly playable without paying cash or watching ads, and still paying cash or watching an ad doesn't feel like cheating. Gameplay is about what I was after, and the visuals make things satisfying. Even the music ain't half bad!",5,0,1.2.0
A Google user,"Good game, not enough levels. A steep price to pay for oy 5 levels. My advice is play for free and put up with the ads. If I had known the game was limited then I wouldn't have paid the fee to remove the ads. It's a shame as I was enjoying the game.",1,0,1.2.2
Ross Fallis,"Very fun game not the normal tap game but it is way better, u actually have to work for each dollar. Developers you did really good making this game you hit the nail on the head here. Its the new age of tap games. Also you don't have to purchase anything if you don't want to and you watch adds when you want not when they want.",5,0,1.7.1
cacia gurwell,I enjoy this game alot but it doesn't close all the way sometimes and it just freezes the progress. When I close it so I can wait for a bit to build up money it doesn't close and just sits here on the same spot so when I come back No time has passed in the game.,3,0,1.8.4
A Google user,"this is an ad-game you will need to watch ads always, if you want to play it. i like the idea of it - the upgrades, hiring/firing employees, the things needed to build the hotel. But that's it, you have to watch ads, like a lot, a ton of ads, for you to be able to do things. you will spend your time on ads than actually playing the game.",2,0,
Jon Boltman,Great game. Suggestion... Make the opening and closing times of services manageable. In on the third hotel and guests keep missing out on things because they have to walk so far. This feature would be awesome.,5,0,1.7.3
Felicia Thomas,"This game is not uploading the videos to receive coins properly. And when it does, most times I do not receive the coins but the investor is still jumping around. I have to restart over and over. Please fix this glitch and my rating will increase to 5 stars.",3,0,1.7.2
A Google user,Beautiful game with beautiful animation. The best management game ever played so far. Only one thing I don't like which is choping sound that coming from kitchen its way too loud & makes uncomfortable to hear after certain times. If developer see this please remove & add some other kitchen sound instead of choping. Thanks,5,0,1.3.1
A Google user,This app drains my battery very quickly and my phone gets warm to the touch. None of my other games do this. Watching an ad only gives you 10 mins of double revenue. There are several other idle games that are better gameplay and don't drain your battery like this one does...,2,0,1.1.1
A Google user,"I saved up $6k for a much needed double room, but the game forced me to build a bar instead. Now Ive lost staff because I couldnt bring in the income I was counting on from that double. Show me the basics, and leave me the heck alone, to play as I please!! I cant stand games that dont just let you play.",2,0,1.3.1
A Google user,"This game was amazing and very fun! Though it really tested my patience and since I'm not a very patient person,I bought some features for the game __ After the 5 hotels, I wonder if there would be new hotels since it would be a waste of money if ever if it would've stopped after the 5th hotel.",4,0,1.3.1
A Google user,Quite a poor game. Theres so much you need to do and you dont have enough money to do so unless you keep watching ads. Great concept and I would keep playing if it wasnt so difficult to get money and advance in anyway. I suggest fixing this if you want more people to play.,2,0,1.0
A Google user,Good at the start. The games gets better and better with more and more items and things to upgrade as you through hotel 1-3. However you then get to 4 and it is just a re-skin of 1 with more rooms. Was really hoping for more. They should add a 5th+ hotel,4,0,1.2.1
Colton Kosicek,Great and entertaining game but too short. I really enjoyed playing but beat it within a month. They need to create better pathing for guests on later levels. Food Halls are too small so you lose on a lot of profit until you get past the bar and food activities.,5,0,1.7.1
A Google user,"It's a slow start, but not terribly so. I haven't reached my first star level as of yet, but I've only played for a total of three hours at this point. Essentially it's pay to win or settle for ads-to-progress gameplay, which is so far worth it.",4,0,1.2.1
A Google user,Stop requiring upgrades on building parts of the hotel. I love having a bunch of coins I wanted to use on different upgrades but instead there is an arrow forcing me to upgrade the hotel before I can continue. The helper is annoying and not necessary.,3,0,1.2.1
A Google user,"Much better than most idle games, this one takes time instead of beating the game too quickly. Very addicting!! However I would like more achievements in the game before moving to the next hotel! And more hotels!! I'm on the last one I dont know what I'm going to do when I beat the last one! Lol",5,0,1.2.0
A Google user,I'm enjoying the game but on the third hotel it seems like every time I log in 2 rooms are empty and its closing the hotel a lot faster. I refuse to spend ¡ê10 to keep the hotel open while I'm gone if the 2 empty rooms are still going to be a problem. Fix the glitch and I'll rate 5 stars,4,0,1.2.0
DJ Pati,"Just blah and expensive. $20 to get rid of ads is just not worth it given its just repetitive work. I've played a fair chunk, but mostly coz its there and brainless. Once you complete a hotel, its pointless. So there's no real goal.",3,0,
Tyler Francis,"It's a great game, but I cant get the third hotel open. I've upgraded all my staff and everything and still no 5 stars for the first two. Someone told me to do a restore purchases because it would tell me what I'm missing, but the restore purchases option isn't even there now for so,e reason. Some please help!",3,0,1.7.2
A Google user,It was a fun game but when I tried to log back into my account in my new phone my progress wasn't saved after I saved it on my old phone. It's a cool game if you play with it for a while. just don't try to save your progress because it won't save and all the hard work you put into it will just be lost,3,0,
A Google user,Find game but too many videos to advance! Just to advance at a decent pace you have to watch countless videos. It takes away from the fun of the game. Real bummer. Oh and to pay to get perks well they are pretty expensive compared to other games.,1,0,1.3.1
A Google user,"It takes a long time to get things going. Once u have enough money to upgrade something u have to wait like 5mins for the invester to come back and give u money. And a lot of times the ads dont play and u dont get the money. Also u have to watch like 20 ads to get 2hrs of doubled income. Some good additions to the game would be more pop ups on the side to get more money so u dont have to wait 5min for the invester, lowering cost for upgrades and to fix the bug so the ads play to get ur money.",1,0,1.2.0
Aeri YR,"it is a great game, a boredom killer but my progress aren't saving. i was playing the game then exit for a while, when i go back all my upgrades are gone and even my balance is negative. i have my google play attached to it, i tried to disconnect then reconnect it again but nothing happens, all my upgrades and the my hotel balance stays negative. so i uninstalled.",2,0,
Danielle Dudley,"I like the game. I wish there were maintenance options so it gives me reason to revisit my past hotels, rather than just to keep them open. If there were maintenance options i can hire handyman or plumbers or something like that. I would be more engaged with my previous hotels.",3,0,1.7.1
Niranjan V Ram,"The app is superb and it keeps us much intersted towards the game more..but the only one problem that i felt is that after we have fully developed a hotel to its full, the difficulty in developing the next hotel is much more challenging..otherwise the game is so interesting and keeps us play the game more",5,0,
A Google user,"The game is fun and really has enough reasons to keep you playing the game but when I reached the 2nd hotel, everytime I quit then enter the game, all the customers renting the rooms with double bed are gone even in the middle of the night. Hope this could be fixed.",3,0,1.2.0
A Google user,Add heavy. Game was designed to be poor in performance to justify the ads. Everything have an ad. Need to pay around 10 dollars to remove ads. Not gonna pay for something not so good. I have even bought the permanent 2x profit but the game is still meehh.,2,0,1.2.0
A Google user,"Really enjoying the game, but the main bug I've noticed is ive completed the goals, but they aren't coming up as complete. I've been playing it everyday since downloading, i just hope the bugs get fixed in later updates!",4,0,0.1.1
A Google user,"I don't like constantly looking at a bald black guy so I uninstalled. Also after 2 minutes the gameplay was too slow. I don't like forced tutorials. Give a way to skip and figure it out, that's part of the fun.",2,0,
Bianca Rexhep,"Used to Love this game, I have completed all hotels up to date... but recently when i went to play the weekend challenge the ads with the dancing king kept crashing and the circle just rotates- it did this with last weekends challenge also... nearing ready to give in! Please fix.",2,0,1.9.7
A Google user,"It's good, but could be a lot better Is it just me ??? When your starting of on the 2nd hotel, is there a quick way to earn fast money, without constantly watching ads? I love the idea of the game, but I dont want to keep watching adverts , for a game, that constantly requires a lot of in game money to play... Dont get it ???",3,0,1.3.1
A Google user,Good game but I wouldnt worry about spending any money on it. I completed the whole thing already (all hotels) and ive only had the game a week. Not very challenging. The ads glitch and and you dont always get your rewards for watching them. Shame there isnt more hotels though.,2,0,
A Google user,"Decent game, lots of options to watch videos for good rewards so far. Very very expensive in app purchases though. $10.99 for a general manager to keep the hotel open for 10 hours while im inactive is outrageous to the point of hilarity.",4,0,1.6.0
A Google user,"Its ok, the earnings are a very slow, and the pricing for upgrading generator/batteries is high...might just me wanting to progress a lot quicker than able, as most money has to come from ad watching, which gets very tedious. Will most likely end up deleting due t this",2,0,1.1.1
R M,"I love this game. It takes a long time and effort to build a hotel to finally make it profitable (which I like) and then you start from scratch with the next hotel. All efforts gone to waste I feel. I don't like to start from zero after I've put so much time on one hotel. So, 3 stars from me",3,0,0.3.1
A Google user,"Good game, entertaining. But can only get a decent amount in 2 go if you watch the ads, which unfortunately dont work. So any x2 multipliers are lost and any bonuses throughout the game cant be used. Please fix the issue",2,0,1.5.0
A Google user,"This game has the potential to be fun. However, watching ads to get bonuses doesn't work after a minute of playing the game. It seems it's to force the player to pay for the ""permanent"" bonuses. Bad move on the developer's part. Not worth keeping.",2,0,1.2.0
A Google user,"Good game, love playing it. But whenever I come back to it after a certain amount of time, the hotel has made money but when I watch a video to double my profit I never get the money. And the entire game keeps crashing.",2,0,1.7.1
A Google user,I mean its a great game. Worth the whole 10 dollars in game i paid for no ads and can just claim double on anything. It just gets boring after a while i got to the third hotel and just got bored waiting.somw of the upgrade prices are just not realistic to me.,3,0,1.2.2
A Google user,It was alright. It was fun at first but restarting at every hotel was really annoying. I get it but it is frustrating to raise the prices for everything at every new hotel but not give a good income raise. Takes forever to get to the last hotel and then I just quit.,3,0,
A Google user,I really liked this game. The game play was fun and easy. What made me delete the app is that it was impossible to get five stars for either of the two hotels I had. I had everything levelled up to the max and I still only had four stars on both hotels. Eventually I got frustrated and got rid of the app.,3,0,
Jaea De Vera,"not the game like in the ads. You can't rearrange furnitures in a room. The interface are a little confusing. The moneys are slow paced. It has a nice concept and all, I'm just not satisfied with how slow the game is. BUT THE CONCEPT ARE GOOD! Please keep it",2,0,
A Google user,"I paid to not have to keep watching ads when I wanted to collect from the investor and claim all the other benefits like double profit etc. However this game has not been allowing me to claim my double profit. It will just reward me with the original profit made. If you don't close the game out completely it pauses the double profit clock but the time the hotel is open still continues so you don't get the profits from that either. Events aren't fair, you have to pay to make it to 3 stars!",2,0,1.7.1
A Google user,"This is a fun game, but I'm stuck now on the second hotel, I've upgraded the electricity as much as I can and can't fully upgrade the final suite or buy the ski resort, so I can't even make it to 4 stars, let alone 5!! Let me upgrade the power some more please, or I'll never get further. __",3,0,1.3.1
A Google user,Fun game. I've been playing for about 3 weeks now. One complaint is since the new update I can't watch the video to get the VIP bonus money. It pulls up and crashes. I haven't been able to watch any ads but some how my 2¡Á profits will fill,4,0,1.2.0
A Google user,Only had the game for day and so far I really like it. It is a little slow pace though and sometimes when trying to get out of the room update screen I have to push the back arrow a few times before it works.,4,0,1.7.1
A Google user,"Fun game, I bought all the upgrades and finished the entire game in about 2 weeks. Once finished, no point in playing or purchasing items. Too bad, I like the concept and would have continued playing.",5,0,1.3.1
A Google user,"They can't add content update to this game fast enough for me! I've had no problems whatsoever, the graphics are adorable, cheeky and fun. Personally I don't mind watching ads, so no need to purchase anything; this is a fun, casual game. I enjoy many others from this developer __",5,0,1.3.1
A Google user,Really nice game!! I like how the animations are done and the ideas of the hotels. I would really like it that there can be several buildings in one place if u can do that. Overall its a really great and fun game!,5,0,1.3.1
A Google user,"The game takes too long without ads, but ads no longer give rewards when the investor pops up. I believe they broke it on purpose to get users to buy the game. But $10 for game with very few levels seems a bit of a stretch.",1,0,
A Google user,Good game overall keeps you interested. Needs to be expanded to more hotels for lasting stability. Overall I believe the ads are a little much but you can get by. Reducing the no ads price would be nice.,4,0,1.7.1
MariumA,"It gets repetitive after the second hotel, and it's mostly updating the items and watching ads because you never have enough coins to upgrade... So basically it's mostly watching ads. It's interesting at first but then gets too repetitive.",3,0,
Harjot Bakshi,"One of the worst part of the game is that the way you accumulate money is incredibly low even there's no use of ads coz it will not earn you any money, most of the time the ads only conver the wages of the employees. This game has so much potential but if you are not ready to spend hundreds then it's not worth it. It took me 2 days with countless hours and ads to complete the one hotel and things become even more difficult when I'm in next level. I'll pass this one there are far better games.",1,0,
A Google user,I enjoyed the game especially the first hotel. I just wish that your money could transfer and that it was easier to upgrade the other hotels. I'm on the second one and there's so much to do but we get like no money. Was wondering if something could change :),3,0,1.3.1
A Google user,"Game is fun, for some parts. It lags and freezes when I click on ads for cash, have to exit out and back in, loading takes so long, can't keep up with paying staff because you don't make enough money to stay afloat.",1,0,
A Google user,On my second hotel and every time I log off then get back on my 3 double rooms are always vacant when they were full before I got off....and I watch the ads but half the time don't get my reward....I can't get profits if the rooms are vacant when I make sure they are occupied....I really enjoy this game but it's getting frustrating!!,2,0,1.7.1
A Google user,Very Addicting game! Only gripe is once you max a hotel out and move to the next the old one becomes useless. Wish you could either carry over earnings from old hotel to help with the new one or sell the old one for profit. Once its maxed out it really makes money for no reason.,4,0,1.1.1
A Google user,"I had no option but to uninstall the game because the game keeps on crashing it's not even loading it's not even opening. I even try to mail the developer for problems but it said that the mail was invalid. I love playing this game and had been playing it for a week and it is really really addictive but all of a sudden the game stop loading and not working at all. I uninstall the game of thousand times reinstalled it, erased my progress nothing happened.",2,0,
A Google user,"A fun way to watch ads. I love the concept and itnis fun to watch guests move around the hotel but most time is spent watching ads. They are optional, but the perks they offer are often needed.",3,0,1.2.0
James Tyndall,I would provide five stars but there are two reasons preventing me from doing so. The first issue is that lifetime earnings from one event to another are not rolling over. I lost most of my progress. The second issue is that when i contacted support there was no reply. Fix these issues and i will change my rating.,3,0,1.7.1
Kayla Kocielko,Since the new hotel the ads for extra money from the special guy doesn't work so you can't get the money for it and end up having no staff because you're stuck at like 50 bucks for the hotel.. it would be better if the funds from one hotel could transfer because otherwise the hotels keep making money no reason. Like the first one has a million earned but the new one has 50 earned. In order to keep your game going it seems like you HAVE to pay money for the add-ons with the new level,2,0,1.7.1
A Google user,"Cute enough. No real incentive to sit in the game. But no forced ads either. Events, as far as I can tell, are impossible to win unless you pay real money. *Maybe* if you sat in the app 24/7 watching ads and collecting tips, you *might* win. But totally not worth the time.",3,0,1.7.1
A Google user,Like the game. But you can't stop it from running in the background. I have a steam phone which is made for family. And this app eats my battery. To make sure before uninstalling. I changed my phone fully. Closed everything but the game. It ate 30% of my battery in 15 minutes. Uninstalled.,2,0,1.5.0
Hailz Halsey,"I really enjoy the game, I just hate the fact that they're always offering x2 profits in exchange for watching an ad, yet they won't let you do it. I've had the app a few days, fun yeah, but everytime I try to watch a video, it never works. I've been on numerous wifi's and even used my data, nothing. _____¡â_________",3,0,
A Google user,Its a really good game. Only wish you vould use the money from the other resorts. Once you level them up you can do much. If it had like a leaderboard to compete with others it would be perfect.,4,0,1.2.0
A Google user,"Glitchy, even with x2 profits enabled profits received are glitchy and it's a guess what you are going to receive. Secondly more hotels are needed as the game has a very short story on each hotel and once completed is pretty much a worthless game, especially if you have paid for anything.",1,0,1.2.0
A Google user,"Not fun, sounds are... disturbing to say the least, grafics are fine, too many plugs for advertisements, but at least they are optional. If you are looking for a great game, however, install Board Kings today! Fun, optimised, and more!",2,0,
Juanita,I really enjoyed this game! I like that I had the option to watch ads to make 2x the profit. But I built all the hotels and have been waiting for some new levels. I like the hotel events also.,3,0,1.7.2
A Google user,I like the game very addicting. But need fix to the second hotel as the profit while i'm away is still small. It says there i earned 40 thousand then i watched the ads to double the profit. But when i continue my money is still low. I think this should be fix.,3,0,1.2.0
A Google user,"I love this game! Quick to learn everything and upgrade as you please. You choose if you want to watch a 30 second add for more money or not. But sometimes the video doesn't load and I don't get the money, that is why I am rating 4 stars instead of 5. Please fix that issue, will be greatly appreciated __",4,0,1.2.0
A Google user,"Love this game!!! But am sad now... just completed the last hotel!!!! We need more!!! Any plans to add more levels or create a new similar game? I love the fact that you CANNOT buy the money to get through the upgrades, you have to work the levels!! It's great!! Need more games like this!!! __",5,0,1.3.1
A Google user,Am actually really enjoying it. I think the profit vs loss system and how many things there are to do is what's keeping me in the game. That and how advertising is controlled. Very nice. I hope I don't end up getting tired of the game like many other idle games.,4,0,1.1.1
A Google user,I really enjoyed the game. The ads were a bit tedious and I completed before my desire to play ended. It was a bit frustrating that you only get 4 hotels and it doesn't celebrate when you reach 20/20 stars. When you add more hotels I will reinstall.,4,0,
A Google user,"So far it's great. No real issues to speak of; except some minor lag. Controls are responsive, and menus are easy to navigate. And a major plus gems aren't terribly expensive.",5,0,1.2.0
A Google user,"Love the game but at The Blue Crystal Resort location, the restaurant is too under staff, the maximum is 12, it's just not enough. Please upgrade so we can add more staff to it. Also the Bar closes too early, it needs to close at least 2:00 a.m. Thank you",4,0,1.2.2
lovestarwars forlife,One issue that I have discovered while playing is that the ads are not working anymore. So I can get the double profit or the money from the game. So I cant play for a long period of time. The issue needs to be fix becuase it's a really fun game to play.,2,0,1.8.4
A Google user,It's very addictive. Hope I didn't have to watch so many ads at the beginning to get money. Most ads are short so it's fine though. After you get a stable income you don't need them anymore. Also as you progress the ads give you more money so they are really helpful.,4,0,1.2.0
Joshua Tam,"The game is not an ""idle game"" there is nothing earned when offline. Other hotels stop collecting money at 3k unless you go to visit them and just sit there while it operates. Was fun at first but once you get higher levels you basically have to keep the game running constantly to progress at all.",2,0,
A Google user,"It's a little annoying to start out, but it gets really fun as you go along. I have a suggestion- could you make a bundle with all the upgrades so they can be bought at the same time? (Maybe it could even be discounted when you buy them together or during certain events?)",5,0,1.3.0
A Google user,"Generally a great time sink. All the ads are optional, you don't have to spend the almost $40 for the extra stuff to enjoy the game(not counting gems), but if you want to support the devs the option is there.",5,0,1.3.1
Esha Mariyam,It is a nice game but after we have maxed out a hotel we should be allowed to use that money on our other hotels because starting from a peny Everytime is frustrating. And plus we have to watch too many ads to grow easily. Otherwise it's a good game.,3,0,1.7.1
A Google user,Pretty slow in the beginning but gets addicting once you start making money. A suggestion for the game is to have a better upgrade menu or screen when updating. Updating and having to exit out to update the next room is very redundant.,4,0,1.2.0
A Google user,"Not a bad game. Just had a few glitchs where i lost out on money, the video wouldn't play and had to tap no thanks and lost out. I just wish you could pull money from the other hotels to help with the more expensive ones.",4,0,1.2.0
A Google user,"The game is interesting with micromanaging stuffs to keep you entertained enuff, and also it can run in background if you kinda busy. The animation top notch and i really like the differences that are shown each upgrade you make to the hotel.",5,0,1.2.0
Richard Gorman,"Without the ads reward, it is very hard to survive the other day. This game really simulate the real life business, staff will leave if couldn't pay them, upgrade/expansion on the hotel require certain supports from investor, no marketing no customer, and most importantly the chart showing which department is loosing and earning. I'm simply amazed by all this, it is exactly like real life. Bravo.",5,0,1.8.4
A Google user,"Great game, although only at beginning of the game and have watched so far 100 ads all just to recieve money to buy things for the hotel. There must be another way of doing that without having to watch ads. Which is sole destroying.",2,0,1.1.1
A Google user,"Just another money hungry, ad pushing game. This games mechanics are designed to make progress impossible/extremely long without viewing a ton of ads or paying money. Or both. I'd rather just pay $10 one time and have an ad and microtransaction free game.",1,0,1.5.0
Judy Velasquez,"Cute game im enjoying it. I dropped it to 3 stars cuz ive noticed that when i let the hotels accumulate alot of money, i try to do an upgrade more tgan once on one object... And it acts like it needs to catch up. Other games similar to this, u hit upgrade and its immediate.",3,0,1.8.4
A Google user,"This game was pretty alright. Too short though, there's only four hotels and I got through without making any major transactions on this app. Ads are a little annoying but not unbearable, uninstalled after completing to save phone space.",3,0,1.2.0
A Google user,"Overall an ok game, I've just got my 2nd star on the 2nd hotel after a ton of ads from the investor and about 2 months of playing the game. The last few times I've opened the game, I haven't been able to play as no loading bar appeared which takes my rating down",2,0,1.2.0
Voxanne Connie Lee,"Very pleased with the game! Simple and cute graphics, but so much to do! It's by far the best idle game I've played so far! I am especially amazed at the little details put into this game, and it fascinates me to watch the little guests do things!",5,0,1.8.4
A Google user,Would love to interact with objects within the game other than upgrading a room or parking lot. It would be cool to click on the refrigerator in a room and the door opened or tap the sink and the water comes on. Maybe even being able to interact with some of the hotels guest. Other than that I love this game __.,4,0,1.2.2
Dreadknott,I think the app has great value in it being an idle game. However when I do pick it up to play I wish there was more to interact with or perhaps ways for me to speed things up by maybe cleaning the room myself or serving a customer food.,4,0,1.7.1
A Google user,"This app is a pretty good game to waste time on. However, the double profits (the one where we're given chances to, well, double hotel profits for 2 hours) do not reflect on the balance whenever we open the game. Hope you can fix this.",3,0,1.3.1
A Google user,Overall the game is really fun but just one advice for the developers. We should be able to transfer our profits from one hotel to another one. There's no point in maxing out a hotel if we can't use the profit generated from it to use it for another one.,4,0,1.2.0
Leah R,"Latest update is frustrating, the profit x2 button when you come back isn't working, the ads to increase your profits for 10 minutes aren't loading forcing you to close and restart the app multiple times. Really enjoy this game until I updated the app. PLEASE FIX!",3,0,1.7.2
A Google user,"Great game so far. Highly addicting, lots of options to watch adds which is a nice option to have. There is also an option to pay to get the perks of watching the adds without actually watching them.",4,0,1.3.1
A Google user,"This game is very good and addicting but, why do I need to use internet to play the game? I know you want to make me watch ads to get rewards but, apperently there are some things that doesn't require internet like making the hotel profitable and other things and can you make the missions not require wifi because, a lot games missions don't require wifi.maybe, add some achievements like getting 1000 dollers in 1 minuite. I hope this comment makes the game better,Thank you.",4,0,1.2.2
A Google user,Great game concept and execution. Enjoying it so much. Advertisement is an option to look at as they do not implement direct auto-ad but rewards the player when he choose to do so. Win-win.,5,0,1.3.1
A Google user,It freezes alot. And its now not paying out after watching the invester video. And it only pays out in the lobby about every 3rd time. And I hate that. Its hard to get enought money to do all the upgr.. Or to build because of it. I like the game in it self. Just not the stupidity of the pay outs not working right.,3,0,1.3.0
A Google user,"Very enjoyable game! Cute graphics and game play is fun. It was worth it to me to pay for the ""ad eating dog"" so I could just get money etc without watching ads. Four stars because the ads were annoying but it was optional to watch them so not bad.",4,0,1.2.0
Bocil Berubah,"I cant give you 5stars because the progress is so slow, if you didnt watch ads, you only earn small amount of money. So you MUST relly on the ads for fast progress. And the ads is just give you random amount of money and not much. And after 2days I play this, I found that ads is also have a limit. After reaching limit, your progress is slow again. I stop playing this...",3,0,
Gg Loux,"Game is wonderful, however I've had a problem. When I am in the application playing the game, it's alright and all the residents are doing their activities. Then, when I close the application, I see that only 2 residents have gotten up after sleep, and start doing their activities, tho I had much more residents in my hotel before. That just ruines the game, as the progress just reloades. But except that, this game has a great potential.",4,0,
Swathi B,In just two days i have unlocked four double bedrooms built a bar upgraded to almost max and built the batteries upgraded the generater to level 2 upgraded the front desk hire all the staff upraded the interior of the rooms just an simple upgrading and i am addicted to this game if you go on building you can see for amazing furniture and the dinning area is the best. When you're bored you can just play it and when i searched tycoon this was in the top second and saw the reveiws it were awesome.,5,0,1.7.1
Chelsea Lynn,The game is fun but.... you can only win or even enjoy this game if you watch the ads. Otherwise it's slow and you lose money and everything takes forever. You CANNOT make money and get forward in the came without the ads. I dislike this...that's not how you should make a game.,3,0,1.7.1
Malina Furr,"This is an amazing game! It's everything it claims to be in the adds. It's really fun and addictive! It's also not to hard which makes it alot more fun! It's really cool and I love it!!! However once you're at your third hotel, it starts to be almost impossible to get money.",4,0,1.2.0
A Google user,"The Klondike playable game ad breaks all ads when it shows up. It doesn't work, and then any clicks to watch ads for bonuses don't work until a game restart. Tried emailing devs and it bounced back. Please fix. Or remove this faulty ad.",1,0,1.2.0
A Google user,"It's awesome! The only thing, is that I had to watch ads to keep myself interested at the start. I still havnt reached the point where I can make enough profit to be happy without ads, but the ads give enough money that I can still play the game.",4,0,1.2.0
Rachael Hutton,Normally i would do 5 stars but i have been waiting for a new hotel for a while and there hasn't been one. I hit the last one and i know i can do the events but they don't last long enough to be satisfying to even do. I really hope more hotels come out since i envested some actual physical money into it for no ads and a few other things.,4,0,1.8.4
A Google user,"Probably the best idle game from Codigames! I love the 'expense' aspect which become a consideration while upgrade things, unlike their other idle games which dont have 'expense'. Graphic and animation is really cool! Hope it will get updated regularly by adding more hotel.",5,0,1.2.0
Tekail Wentwood,"This is a cute game. A bit repetitive and once you have a hotel maxed out it is basically left to make a pit of money that isn't usable anywhere else. Love everything else about this game, right down the different little dancing investors!",4,0,1.7.2
A Google user,"Gameplay is easily addicting, fun, and easy to grasp. Upgrading different aspects of each room is a very nice aspect of the game, seeing every upgrade take shape makes the game much more realistic!",5,0,1.2.0
A Google user,"This game is awesome, i could play it for hours! Sure, at the start the cash flow is a bit slow, but after like a day its great. They dont force you to watch ads, its only if u want rewards. But i just overall love this game, definately recomend getting it",5,0,1.3.1
A Google user,"This game is painfully slow and ridiculous expensive to make it even a little faster. It's kinda pathetic. $10.99 for no adds? $10.99 for a manager to make an ""idle"" game be able to make money for longer.. having a cap on away time earnings isn't even a true idle game. $5.49 for double earnings. Absolutely ridiculous. I could see paying maybe $10 for everything but not almost $30",2,0,1.4.4
A Google user,There was an event game i played recently and won the permanent manager but did see it anywhere. Not even activated in managers list. Is this kind of bug or what because i'm really annoyed bu the fact of watching too much adds putting alot of time into it n gets nothing.,3,0,1.7.1
Jack Heard,Fun game but very disappointed there are only a 6 or so maps to play. I bought a few of the paid features and now it's not even usable anymore since I completed the levels they have. Any plans to release new level maps for this game? If more levels - rating would had been a 5.,3,0,1.9.9
A Google user,"It's impossible to do anything in this game without watching a large number of ads. The ""idle"" part of the game only goes for a few hours without real money upgrades and it tops out very quickly. Would not recommend to download.",1,0,
A Google user,"It takes a while to get into the game but besides that I love it. At the Blue Crystal Resort the showers are facing the wrong way, it's a minor problem and doesn't change how the game is played I just would like to see shower changes in rooms 107-114. I would highly recommend.",5,0,1.3.0
Leedo13,Probably one of the greatest Tycoons in a while! Graphics are good and the amount of ads are a good amount. It never gets boring and my hotel is thriving I love the amount of things you can do and there is no issues! Thank you,5,0,2.4
A Google user,"Made it to the second hotel, but even with every possible thing upgraded, and even spending gems on premium stuff for most if not all the rooms, they still didn't give me enough points to actually move on to the third effectively ending any possible way to play further. kinda lame.",1,0,
A Google user,I enjoy the game. It's basically watching ads to get money to upgrade your hotels. The only issue is the ads don't always give you the money after watching them. That almost makes it pointless to play.,2,0,1.4.2
A Google user,The game is good but I've been having issues where the ads glitch out and its stuck on the video and I have to exit the app to do anything and the game goes back to a past save and it messes up my progress which is really frustrating.,3,0,1.4.2
A Google user,"I have completed this again and now have 25 stars and no more hotels to move onto. I have upgraded all and every hotel and can do no more... please ADD more hotels. Great fun game, especially when I have time to waste. I loved the last update with the ,Arabian resort. Was great to see new presidential suites very cool and lots more ! Took longer than the others but I was more determined. The game did glitch a little with soo many rooms and people they never slept lol kept walking round till morn",5,0,1.3.1
Katelynn Kounalis,I personally like playing the game just to have a distraction in the day and it's a lot of fun. I only wish there were more hotels to purchase and upgrade as I've hit all 35 stars and now have nothing more to really do. Sure there's the events but they're just not as fun to me.,4,0,1.9.7
Steve Hughes,"Uninstalled. Content is limited. Their last new content took 2 weeks to finish and then nothing new for a year. They have a weekly 4-day event that is the same everytime. They have abandoned updating this game. UPDATE: It looks like they sold out. Idle restaurant tycoon is the same style game as this, almost identical in play. I'd imagine they will no longer support this game anymore. It's a shame.",1,0,
A Google user,The game is great. The graphics could be alot better. You could make it where all the money you earnd can be used at all hotels. An plz if your gonna have a game like this. Plz make sure you make more than 3 hotels. Its really a waist of pplz money. N the only reasone i gave 2 stars. I cant watch an ads from the money man to get extra money. An i have had to uninstall the game twice,2,0,1.1.1
A Google user,I feel that this game is really good! And very entertaining but there is just one problem. In the restaurant part of the hotel only two people can eat at once even though there are four other tables other guests can sit at. The guests get angry and I dont know what to do! This problem might be with only me but I don't know.,4,0,1.2.0
Grace Messerschmidt,I love this game until three days ago when the videos and money man stopped working. I can use them once and then not again. Makes it hard to do the events when you can't use the x2 and money man. Wish they would fix it!,4,0,1.8.4
A Google user,"If you like watching ads in order to make progress in a game, this game is for you! Without watching ads, no progress is made...but wait 2 minutes and you can watch an ad and actually make money. 5 stars for an ad watching simulator, 1 star for an actual fun game to play.",1,0,
A Google user,I'm loving the game so far but I've noticed a small bug with the restaurant. There could be 2 tables completely un used and there would be 1 person waiting for a table but they would get frustrated and leave rather than sitting at 1 of the empty tables.,5,0,1.1.1
A Google user,"Great game! Plenty of ads to help progress without having to spend actual real life money. I just wish there was more levels, and more/new challenges and additions for past hotels as well as new levels!",5,0,1.3.0
A Google user,"It's fun but the finances guy, the video button always buffers and doesn't work. A lot of the times, the videos dont load for the investor guy, cab or automatic cleanup. Its really annoying. Please fix it!!",4,0,1.2.0
